Name,Artist,Album,Genre,Size,Time,Track Number,Track Count,Year,Date Added,Bit Rate,Kind,Comments
Last Chance to Comprehend,Latyrx,Solesides Greatest Bumps,Rap,1898038,118,1,12,,"6/28/08, 11:48 PM",128,MPEG audio file,
Deep Red Bells,Neko Case,Blacklisted,Country,7943944,243,2,,2002,"6/28/08, 11:48 PM",256,MPEG audio file,
Son of a Preacher Man,Dusty Springfield,Dusty In Memphis (Deluxe Edition),Pop,5396026,149,3,25,1969,"10/25/14, 2:37 AM",256,Purchased AAC audio file,
Brand New Key,Rasputina,Thanks For The Ether,Goth,4848114,133,9,18,1996,"2/26/09, 9:21 PM",256,AAC audio file,
Caroline's Supposed Demon,His Name Is Alive,Livonia,Goth,13942337,156,7,13,1990,"8/17/12, 9:47 PM",712,Apple Lossless audio file,
Soul To Squeeze,Red Hot Chili Peppers,Greatest Hits [Explicit],Rock,9606098,292,5,16,2003,"12/27/12, 1:38 AM",256,MPEG audio file,Amazon.com Song ID: 203438004
"Lord, Make Me A Channel Of Your Peace",His Name Is Alive,Mouth By Mouth,Indie Rock,11314442,137,5,16,1993,"8/17/12, 9:42 PM",657,Apple Lossless audio file,
Mi Nuera,Charming Hostess,Eat,Rock,6443737,194,3,14,1999,"2/14/09, 11:11 AM",256,AAC audio file,
Give Him A Little Time,Charming Hostess,Eat,Rock,8289732,255,5,14,1999,"2/14/09, 11:12 AM",256,AAC audio file,
Dream of Me,Jewlia Eisenberg,Trilectic,Pop,7509661,234,12,,2001,"6/28/08, 11:47 PM",256,MPEG audio file,
Under Your Spell,Buffy the Vampire Slayer cast,"Once More, With Feeling",Showtunes,5979924,174,4,23,2002,"3/8/09, 3:13 PM",256,AAC audio file,
Walk Through The Fire,Buffy the Vampire Slayer cast,"Once More, With Feeling",Showtunes,7566427,223,13,23,2002,"3/8/09, 3:16 PM",256,AAC audio file,
Where Do We Go From Here?,Buffy the Vampire Slayer cast,"Once More, With Feeling",Showtunes,3986366,112,16,23,2002,"3/8/09, 3:17 PM",256,AAC audio file,
light of india (Múm remix),Slag Boom Van Loon,So Soon,IDM,3393407,159,3,,2001,"6/28/08, 11:48 PM",160,MPEG audio file,
Heaven On Their Minds,Andrew Lloyd Webber,Jesus Christ Superstar (London),Showtunes,10209595,262,2,12,1970,"10/23/09, 1:25 AM",256,AAC audio file,
Everything's Alright,Andrew Lloyd Webber,Jesus Christ Superstar (London),Showtunes,11841884,314,4,12,1970,"10/23/09, 1:26 AM",256,AAC audio file,
Everything's Alright (reprise),Andrew Lloyd Webber,Jesus Christ Superstar (London),Showtunes,1246004,29,10,12,1970,"10/23/09, 1:29 AM",256,AAC audio file,
I Don't Know How To Love Him,Andrew Lloyd Webber,Jesus Christ Superstar (London),Showtunes,7983421,220,11,12,1970,"10/23/09, 1:29 AM",256,AAC audio file,
Sweet Water Kill (The Ocean Song),Rasputina,Cabin Fever!,Goth,6840826,213,4,,2002,"6/28/08, 11:49 PM",256,MPEG audio file,
"Oh, Injury",Rasputina,Frustration Plantation,Goth,7997440,250,11,,2004,"6/28/08, 11:49 PM",256,MPEG audio file,6/8 with rubato
Falling Down,Scarlett Johansson,Anywhere I Lay My Head,Rock,10123633,295,3,,2008,"3/4/10, 9:51 PM",272,MPEG audio file,6/8 or 3/4
Bodies,Smashing Pumpkins,Mellon Collie and the Infinite Sadness,Rock,8431999,250,2,14,1995,"6/28/08, 11:50 PM",256,MPEG audio file,
Please Sing My Spring Reverb (I.S.A.N. Catena Mix),Múm,Please Smile My Noise Bleed,IDM,8649005,257,4,9,2001,"8/15/12, 8:32 PM",256,AAC audio file,
Facet Squared,Fugazi,In On the Kill Taker,Punk,5761732,161,1,12,1993,"1/14/12, 8:44 PM",256,Purchased AAC audio file,
Death Rides A Horse,Russian Circles,Russian Circles Live at Schubas 05/27/2005,Postrock,10516701,423,3,,2005,"6/28/08, 11:49 PM",198,MPEG audio file,
Scrapyard,Skinny Puppy,Last Rights,Industrial,29057939,232,6,11,1992,"12/5/10, 10:02 PM",991,Apple Lossless audio file,
